scenario,day,stress_mean,stress_std,usage_mean,usage_std,burnout_mean,burnout_std
Baseline,0,49.75,0.0,272.12736455522554,0.0,194.0,0.0
Baseline,1,37.691910240096924,0.09616915868276871,271.5029613125127,1.0723054447521956,0.7,0.48304589153964794
Baseline,2,34.3369396596898,0.12403905568200752,269.32489949093326,1.0719002867015721,0.0,0.0
Baseline,3,33.29378810999041,0.10805882688766826,267.3818642732631,1.0341401241325043,0.0,0.0
Baseline,4,32.91776280147549,0.15363771677559088,266.1485512845721,1.432325411999461,0.0,0.0
Baseline,5,32.81084713755165,0.16708680483505875,265.9302436879554,1.4283770668107298,0.0,0.0
Baseline,6,32.826681999461734,0.1429406872805105,266.3710833775216,1.2110274547579984,0.0,0.0
Baseline,7,32.91104765001092,0.14009974897765543,267.19074286401576,1.2283340437514314,0.0,0.0
Baseline,8,33.07805134735861,0.20389257061066787,268.74564756218234,1.8919933123448909,0.0,0.0
Baseline,9,33.25050046753101,0.19933837730465606,270.09770372734994,1.6221846533311932,0.0,0.0
Baseline,10,33.45826869684306,0.21635143047057906,271.84810914065457,1.933133264572517,0.0,0.0
Baseline,11,33.644897336669864,0.1914953409363269,273.2455461378278,1.6631915536104187,0.0,0.0
Baseline,12,33.82282486423658,0.2217793756285417,274.6110655159486,2.039669017072737,0.0,0.0
Baseline,13,34.0254700377923,0.2431706226268075,276.30421019164913,2.087835560100187,0.0,0.0
Baseline,14,34.13264676167447,0.25349823942902777,276.9227581434636,2.067681401767949,0.0,0.0
Baseline,15,34.28732014534242,0.2911651833594552,278.2029996421644,2.4534248056655774,0.0,0.0
Baseline,16,34.42310447284332,0.3195957478957662,279.13321646481154,2.617260562298791,0.0,0.0
Baseline,17,34.57481996667731,0.35053528197577155,280.3519631001342,2.8694856912229976,0.0,0.0
Baseline,18,34.7468046404353,0.3482019538419799,281.68038341107723,2.63689946835326,0.0,0.0
Baseline,19,34.87496268555243,0.3686247185245083,282.56340295617656,2.9882449902867045,0.0,0.0
Baseline,20,35.010294584509076,0.40211064242434286,283.6333164370611,3.352106869855643,0.0,0.0
Baseline,21,35.130017872206494,0.41334158439318164,284.500410120229,3.355477915907152,0.0,0.0
Baseline,22,35.26099413054929,0.41362178282614714,285.4648192770299,3.3577185110481618,0.0,0.0
Baseline,23,35.38311854531655,0.3900126483236888,286.33279508542694,3.089974949574061,0.0,0.0
Baseline,24,35.46712697786893,0.3714097575046638,286.891686887649,2.8996062997254164,0.0,0.0
Baseline,25,35.53314769588785,0.3319347051958105,287.37525224386604,2.583328471659795,0.0,0.0
Baseline,26,35.59580351653088,0.2989055758633249,287.79289639157395,2.2735083708761614,0.0,0.0
Baseline,27,35.671756447046484,0.2881247082573704,288.4354366412835,2.244970188919479,0.0,0.0
Baseline,28,35.71835948393594,0.2732040807241605,288.71598706590794,2.1373044679097384,0.0,0.0
Baseline,29,35.78779321679048,0.24011945318892536,289.3260900976321,1.8390386767399807,0.0,0.0
Baseline,30,35.85683241386832,0.23529307674566488,289.95373626143964,1.9168890444233397,0.0,0.0
Intervention,0,49.75,0.0,272.12736455522554,0.0,194.0,0.0
Intervention,1,37.691910240096924,0.09616915868276871,271.5029613125127,1.0723054447521956,0.7,0.48304589153964794
Intervention,2,34.3369396596898,0.12403905568200752,269.32489949093326,1.0719002867015721,0.0,0.0
Intervention,3,33.29378810999041,0.10805882688766826,267.3818642732631,1.0341401241325043,0.0,0.0
Intervention,4,32.91776280147549,0.15363771677559088,266.1485512845721,1.432325411999461,0.0,0.0
Intervention,5,32.81084713755165,0.16708680483505875,265.9302436879554,1.4283770668107298,0.0,0.0
Intervention,6,32.826681999461734,0.1429406872805105,266.3710833775216,1.2110274547579984,0.0,0.0
Intervention,7,32.91104765001092,0.14009974897765543,267.19074286401576,1.2283340437514314,0.0,0.0
Intervention,8,33.07805134735861,0.20389257061066787,268.74564756218234,1.8919933123448909,0.0,0.0
Intervention,9,33.25050046753101,0.19933837730465606,270.09770372734994,1.6221846533311932,0.0,0.0
Intervention,10,33.45826869684306,0.21635143047057906,271.84810914065457,1.933133264572517,0.0,0.0
Intervention,11,31.810872970776224,0.1852936525223758,266.13008433785393,1.6224493652068401,0.0,0.0
Intervention,12,31.231517375937006,0.20856818637647487,263.6967600043284,1.9441624021860242,0.0,0.0
Intervention,13,31.055933459723025,0.21520559409680673,263.31380488125427,1.9278024019697835,0.0,0.0
Intervention,14,30.961978781935834,0.2116456081666707,262.7544240965596,1.8558651569353788,0.0,0.0
Intervention,15,31.00243826101555,0.2448363819037729,263.40666392499463,2.208354375402927,0.0,0.0
Intervention,16,31.080273005609047,0.2647926414468272,264.12459378694194,2.3209118114642036,0.0,0.0
Intervention,17,31.193904177199112,0.27812896957651,265.1570980982957,2.408879376657909,0.0,0.0
Intervention,18,31.336741477395957,0.26288457327417836,266.40925553926274,2.2551619905409823,0.0,0.0
Intervention,19,31.447748696803863,0.29635452246525146,267.2442771772844,2.659156932361017,0.0,0.0
Intervention,20,31.561388537888497,0.3321980466857552,268.17115828852764,2.9985268561183,0.0,0.0
Intervention,21,31.65366834991376,0.3429182425093317,268.9041689672909,3.0228660928471327,0.0,0.0
Intervention,22,31.754490099969008,0.34056602901660954,269.7219200174235,3.0063253752145753,0.0,0.0
Intervention,23,31.854510778127214,0.31455736489782854,270.53532165992584,2.744634774473007,0.0,0.0
Intervention,24,31.930808172622278,0.3063369735672044,271.0995396698038,2.666904374990256,0.0,0.0
Intervention,25,31.984691227852004,0.2760379417466389,271.47486136196716,2.325157037028374,0.0,0.0
Intervention,26,32.02979256606635,0.24163970565087964,271.8184392830096,2.0103351809639927,0.0,0.0
Intervention,27,32.09286262945434,0.2266756405594104,272.40259595498577,1.9554161939038808,0.0,0.0
Intervention,28,32.12848802700289,0.21951894759358423,272.62137734722705,1.9261517126022691,0.0,0.0
Intervention,29,32.196861623353385,0.19229400333059252,273.2949356059966,1.6241796249495035,0.0,0.0
Intervention,30,32.26805731206109,0.1815974233832816,273.9056548203153,1.6190808759293496,0.0,0.0
