total_records,n_agents,n_days,initial_stress_mean,initial_stress_std,final_stress_mean,final_stress_std,stress_change,peak_stress_overall,peak_stress_day,peak_stress_value,burnout_count_initial,burnout_count_final,total_stress_auc,avg_stress_auc_per_agent,run_id,seed,scenario
3100,100,30,44.5,34.739288735064534,43.81172797304939,26.21411547979745,-0.6882720269506066,100.0,0,44.5,13,6,118863.68167995512,1188.636816799551,0,42,Baseline
3100,100,30,44.5,34.739288735064534,43.99688129479046,26.298534094988835,-0.5031187052095376,100.0,0,44.5,13,5,118955.03654016061,1189.550365401606,1,43,Baseline
3100,100,30,44.5,34.739288735064534,41.34501877660799,26.362581535839784,-3.1549812233920065,100.0,0,44.5,13,4,116515.67841869037,1165.1567841869037,2,44,Baseline
3100,100,30,44.5,34.739288735064534,41.280606923482125,25.324730520178214,-3.219393076517875,100.0,0,44.5,13,2,115750.4470191393,1157.504470191393,3,45,Baseline
3100,100,30,44.5,34.739288735064534,42.61221495187143,25.989313646997847,-1.8877850481285705,100.0,0,44.5,13,3,118422.88803105315,1184.2288803105316,4,46,Baseline
