total_records,n_agents,n_days,initial_stress_mean,initial_stress_std,final_stress_mean,final_stress_std,stress_change,peak_stress_overall,peak_stress_day,peak_stress_value,burnout_count_initial,burnout_count_final,total_stress_auc,avg_stress_auc_per_agent,run_id,seed,scenario
3100,100,30,44.5,34.739288735064534,39.96275478585836,26.423084261970338,-4.537245214141642,100.0,0,44.5,13,4,114091.07768795578,1140.9107768795577,0,42,Influencer_Quarantine
3100,100,30,44.5,34.739288735064534,41.47586272378162,26.455269868138576,-3.024137276218383,100.0,0,44.5,13,4,113848.16922189445,1138.4816922189445,1,43,Influencer_Quarantine
3100,100,30,44.5,34.739288735064534,39.65273665657624,26.510719176979045,-4.847263343423762,100.0,0,44.5,13,4,113790.83062331702,1137.9083062331702,2,44,Influencer_Quarantine
3100,100,30,44.5,34.739288735064534,39.351161912367154,26.34268375011444,-5.148838087632846,100.0,0,44.5,13,4,111943.93362545673,1119.4393362545673,3,45,Influencer_Quarantine
3100,100,30,44.5,34.739288735064534,39.98638200335265,25.81184685468179,-4.513617996647348,100.0,0,44.5,13,2,114955.45930041555,1149.5545930041555,4,46,Influencer_Quarantine
