agent_id,day,stress,usage,peer_influence,persona,intervention_active
0,1,17.01832020576412,107.91243285780226,29.166666666666668,Moderate User,False
1,1,36.254144240461066,243.0636640182763,62.5,Active User,False
2,1,30.82390268230111,232.34968449429167,45.833333333333336,Active User,False
3,1,14.766304179056855,59.33067732667256,21.875,Minimalist,False
4,1,67.87146123796688,617.5437279491744,37.5,Digital Addict,False
5,1,20.631850694258063,70.88786158279407,35.0,Minimalist,False
6,1,22.903957748917605,145.93373014940252,50.0,Moderate User,False
7,1,72.52099478597236,609.1803520780928,83.33333333333333,Heavy User,False
8,1,18.86183626981518,151.65672293072507,18.75,Moderate User,False
9,1,56.88115870404197,458.4876135941812,50.0,Digital Addict,False
10,1,40.974995178691415,148.2300733317386,62.5,Moderate User,False
11,1,35.032642542438616,214.88947559681236,42.857142857142854,Active User,False
12,1,24.814498438897527,63.194950696074336,55.0,Minimalist,False
13,1,13.035108056072197,89.59846278607439,21.428571428571427,Moderate User,False
14,1,11.769976893631734,90.01783536727332,10.0,Minimalist,False
15,1,66.85968594685612,478.1462015587367,65.0,Digital Addict,False
16,1,12.113951145223162,49.24890555084828,40.0,Minimalist,False
17,1,33.56734458965623,251.23947437862546,37.5,Active User,False
18,1,64.23186180010981,363.54549768464574,65.0,Heavy User,False
19,1,59.27423079272013,435.72297996746084,71.875,Digital Addict,False
20,1,50.62117434768304,404.64697230456284,55.0,Heavy User,False
21,1,83.99286939024812,608.6588348538537,70.0,Digital Addict,False
22,1,35.88936055236499,201.97903742461634,42.857142857142854,Moderate User,False
23,1,59.01618353653708,404.2578853816592,66.66666666666667,Heavy User,False
24,1,13.615105475951008,102.33758808127864,12.5,Moderate User,False
25,1,14.982206052589108,100.47642059894689,15.0,Minimalist,False
26,1,35.327270342136806,190.53067244990882,50.0,Active User,False
27,1,59.544733507629694,504.115714013132,66.66666666666667,Digital Addict,False
28,1,16.95959090539989,61.27027255977146,43.75,Minimalist,False
