scenario,day,stress_mean,stress_std,usage_mean,usage_std,burnout_mean,burnout_std
Baseline,0,49.75,0.0,273.5527063719228,0.0,19.0,0.0
Baseline,1,40.387785599256176,0.22935675548608442,266.510525521345,2.4194001306879964,0.9,0.30512857662936466
Baseline,2,37.0900170682709,0.4180292792827244,260.3028581768624,3.8477608154269816,0.0,0.0
Baseline,3,35.49369746776005,0.5133203983573946,255.05889829108838,4.39757881413119,0.0,0.0
Baseline,4,34.67032340591134,0.5150097413664165,252.10704091033404,4.01253415366951,0.0,0.0
Baseline,5,34.27129230178886,0.5839066339637313,251.13277667481955,5.0305466258808655,0.06666666666666667,0.2537081317024624
Baseline,6,34.0211586863516,0.6932710172901168,250.31329920236917,5.550618190076391,0.13333333333333333,0.34574590364176044
Baseline,7,33.97999601818583,0.7119794764212146,251.2712213061771,5.401684214882991,0.2,0.40683810217248617
Baseline,8,33.99165628492915,0.7596153967338776,252.03182377211064,5.821142486525968,0.36666666666666664,0.49013251785356104
Baseline,9,34.07963623777633,0.847214167519557,253.55414269558034,6.473884298298607,0.4666666666666667,0.571346463723366
Baseline,10,34.21452744169704,0.8173349382666484,255.2669418580902,5.802514816726027,0.5333333333333333,0.5074162634049248
Baseline,11,34.38356168086889,0.8969587301965369,257.1812544359069,6.549258077577787,0.6,0.4982728791224398
Baseline,12,34.590281438998915,0.8918668660107165,259.3110609479615,6.409917439604581,0.7666666666666667,0.5040069329937309
Baseline,13,34.81098315956069,0.8407151990111054,261.4572620510664,5.865885596981135,0.8666666666666667,0.571346463723366
Baseline,14,35.13049360062621,0.8502723717460344,264.53978843880355,6.150947180855444,1.0,0.5872202195147036
Baseline,15,35.37168962161453,0.8344816618482155,266.49392633639593,6.013764149227868,0.9333333333333333,0.5832922809856746
Baseline,16,35.718341006153786,0.8876028502641261,269.7457152275332,6.765060918887057,0.9666666666666667,0.6149478998583783
Baseline,17,36.004053434395594,0.8997546863921096,271.9679561414079,6.7728341973307495,1.0666666666666667,0.5208304597621879
Baseline,18,36.389041232696194,0.8596647845533982,275.2853572304236,6.353996258524546,1.1,0.4806604651504227
Baseline,19,36.60228019231026,0.8832322071590217,276.63776442390986,6.779922311830318,1.0333333333333334,0.49013251785356104
Baseline,20,36.88358469458888,0.9290067287614127,279.078019107592,7.2520866890945745,1.1,0.48066046515042277
Baseline,21,37.13069368122865,0.9285651851963249,281.0153696681277,7.0684077565279795,0.9666666666666667,0.490132517853561
Baseline,22,37.29530370186403,0.9853908462153416,282.1521405305103,7.673248292712458,0.9666666666666667,0.49013251785356104
Baseline,23,37.47350336872606,0.9742434457673254,283.73057463604596,7.445331275537988,0.8666666666666667,0.5074162634049247
Baseline,24,37.5903048249176,0.9490029596214477,284.4986130287059,7.337395041704205,0.9,0.40257789993644877
Baseline,25,37.70270520989116,0.884571884301762,285.4682719907736,6.673681415567474,0.9,0.40257789993644877
Baseline,26,37.80069091456402,0.9036057608024157,286.18709437860656,7.0876182336736235,0.9333333333333333,0.2537081317024624
Baseline,27,37.961794310008635,0.8809554583441784,287.658110916801,6.706194153306533,0.9666666666666667,0.319841914974746
Baseline,28,38.00826606522331,0.9022862266880383,287.77600514929605,6.951509646362556,0.9666666666666667,0.18257418583505536
Baseline,29,38.03064500008747,0.920154524440423,287.893890595988,7.100677491896414,0.9666666666666667,0.319841914974746
Baseline,30,38.088200213407475,0.8419960933707171,288.49011588012013,6.295958781451979,0.9666666666666667,0.18257418583505536
Intervention,0,49.75,0.0,273.5527063719228,0.0,19.0,0.0
Intervention,1,40.387785599256176,0.22935675548608442,266.510525521345,2.4194001306879964,0.9,0.30512857662936466
Intervention,2,37.0900170682709,0.4180292792827244,260.3028581768624,3.8477608154269816,0.0,0.0
Intervention,3,35.49369746776005,0.5133203983573946,255.05889829108838,4.39757881413119,0.0,0.0
Intervention,4,34.67032340591134,0.5150097413664165,252.10704091033404,4.01253415366951,0.0,0.0
Intervention,5,34.27129230178886,0.5839066339637313,251.13277667481955,5.0305466258808655,0.06666666666666667,0.2537081317024624
Intervention,6,34.0211586863516,0.6932710172901168,250.31329920236917,5.550618190076391,0.13333333333333333,0.34574590364176044
Intervention,7,33.97999601818583,0.7119794764212146,251.2712213061771,5.401684214882991,0.2,0.40683810217248617
