run,seed,final_stress_mean,burnout_count,total_stress_auc
0,42,30.937981686889554,1,84174.10047566424
1,43,31.318104727339623,0,84216.50200788357
2,44,29.334646671183414,0,82928.16726499058
3,45,29.54563251422332,1,81770.54280320212
4,46,29.872733924128756,1,82933.6816103276
