scenario,peak_stress_1_30_mean,peak_stress_1_30_std,peak_burnout_1_30_mean,peak_burnout_1_30_std
Baseline,80.35718717393577,1.3287112265617573,0.7,0.48304589153964794
Intervention,80.35718717393577,1.3287112265617573,0.7,0.48304589153964794
