scenario,peak_stress_1_30_mean,peak_stress_1_30_std,peak_burnout_1_30_mean,peak_burnout_1_30_std
Baseline,79.98682337666371,0.28957065715584884,0.4666666666666667,0.5074162634049248
Intervention,79.97266036642847,0.29032766982597863,0.4666666666666667,0.5074162634049248
