scenario,run_id,peak_stress_1_30,peak_burnout_1_30,day_of_peak_stress_1_30,day_of_peak_burnout_1_30
Baseline,0,81.29793717889022,1,1,1
Baseline,1,77.88619046330679,0,1,1
Baseline,2,81.29793717889022,1,1,1
Baseline,3,81.29793717889022,1,1,1
Baseline,4,80.52403409782723,1,1,1
Baseline,5,81.05171449255401,1,1,1
Baseline,6,81.29793717889022,1,1,1
Baseline,7,81.29793717889022,1,1,1
Baseline,8,78.63495868949799,0,1,1
Baseline,9,78.98528810172053,0,1,1
Intervention,0,81.29793717889022,1,1,1
Intervention,1,77.88619046330679,0,1,1
Intervention,2,81.29793717889022,1,1,1
Intervention,3,81.29793717889022,1,1,1
Intervention,4,80.52403409782723,1,1,1
Intervention,5,81.05171449255401,1,1,1
Intervention,6,81.29793717889022,1,1,1
Intervention,7,81.29793717889022,1,1,1
Intervention,8,78.63495868949799,0,1,1
Intervention,9,78.98528810172053,0,1,1
