metric,mean,std,ci95_low,ci95_high
day30_burnout_count,0.03333333333333333,0.18257418583505533,-0.03199999999999998,0.09866666666666665
peak_burnout_count_days_1_30,0.0,0.0,0.0,0.0
ever_burnout_count_days_1_30,0.0,0.0,0.0,0.0
severe_agent_days,0.2,0.6643638388299196,-0.03773954646634403,0.43773954646634405
persistent_burnout_3day_count,0.0,0.0,0.0,0.0
consecutive_burnout_2day_count,0.0,0.0,0.0,0.0
severe_stress_burden,0.055112360816865665,0.09386421907069063,0.02152348140015141,0.08870124023357992
day30_p90_stress,0.45927107524224553,0.3528565246262236,0.33300298954981444,0.5855391609346766
day30_p95_stress,1.0673993903180323,0.5574476053232844,0.8679193266503364,1.2668794539857282
day30_top10pct_mean_stress,0.7857735660462003,0.32005830810712915,0.6712421714022877,0.9003049606901129
days_1_30_p95_stress,0.8585877322469784,0.3671519225534741,0.7272041041045457,0.989971360389411
