run_id,day30_burnout_count,peak_burnout_count_days_1_30,ever_burnout_count_days_1_30,severe_agent_days,persistent_burnout_3day_count,consecutive_burnout_2day_count,severe_stress_burden,day30_p90_stress,day30_p95_stress,day30_top10pct_mean_stress,days_1_30_p95_stress
0,0,0,0,1,0,0,0.21464847304758905,0.5509104237861777,0.38684656287469465,0.8528892390507394,1.1001497370150304
1,0,0,0,0,0,0,0.0,0.8480977765274531,1.2539825658036392,0.96952236031251,1.1260515921677836
2,0,0,0,0,0,0,0.0,0.26245979060099955,0.06941657136482604,0.3861218611379087,0.14052470866478473
3,0,0,0,0,0,0,0.016376470185306857,1.0612588741446558,1.3336775648279229,0.7811949659818112,0.9751607888950957
4,0,0,0,0,0,0,0.0,1.0313351594429179,0.9670156892758257,0.548904034838543,0.35369017443294126
5,0,0,0,0,0,0,0.0,0.31085700317312615,0.689267663679928,0.7352815614909929,1.2072761114306587
6,0,0,0,0,0,0,0.0,0.4711250930236872,1.8989098536518867,1.0666469736335813,1.0350751249397518
7,0,0,0,0,0,0,0.06073140883709982,0.14630263155477508,0.7542552190581944,1.0112293699583006,0.7466288979187254
8,0,0,0,0,0,0,0.0,0.045486043370473794,0.7906903611248026,0.3646963819082316,0.839377384908488
9,0,0,0,0,0,0,0.0,0.940447094446327,0.9140778516747332,1.2048095305918167,0.9306764244881407
10,0,0,0,0,0,0,0.0,0.04970852115955893,0.8417255229205836,0.8934131107098722,0.6208904260027026
11,0,0,0,0,0,0,0.039014951109109575,0.39973694753831523,1.27887207786209,0.8859426816271991,1.2810732201030675
12,0,0,0,0,0,0,0.019758491223640817,0.007815032886313134,1.8438668467679378,0.4381766295532685,0.6410740336176843
13,0,0,0,0,0,0,0.0,0.223380517868371,0.7541021069341127,0.38148384331748275,0.19302820714817415
14,0,0,0,0,0,0,0.2098794748067263,1.0152569330217887,0.012818879649017845,0.2789162822872413,0.6154651797852324
15,0,0,0,0,0,0,0.0,0.16433846775356642,1.7501950066276635,0.8931416236879386,1.0075543473579955
16,0,0,0,0,0,0,0.0,0.5680072547679913,1.5245693390111938,0.8107838155879961,0.6992512396079036
17,0,0,0,3,0,0,0.08952725441102416,0.7114728599243278,1.363451864974067,1.0584740855983483,0.6785887095847158
18,0,0,0,0,0,0,0.3400382622715483,0.0772842662102704,0.10777679458981027,0.29895032019740597,1.0292473126035873
19,0,0,0,0,0,0,0.0,0.39825416071244035,1.2466007672225885,0.7065755441284125,0.5523281333229733
20,1,0,0,2,0,0,0.21772049560281914,0.33111579091736587,1.5385449766071702,1.1944699680880575,1.3009845439876955
21,0,0,0,0,0,0,0.0,0.9908338833200787,0.7175335621707717,0.9200600501927454,0.3641468377514627
22,0,0,0,0,0,0,0.13300274998404404,0.7231381315058059,1.5052627116398867,1.464100710576659,1.266897244711103
23,0,0,0,0,0,0,0.05456074375361197,0.17882136074739208,2.2839455670304147,0.988234978831187,1.2945242568664526
24,0,0,0,0,0,0,0.0,0.35888399850573194,1.2386328169362884,1.35439535188074,1.398654437279319
25,0,0,0,0,0,0,0.0,0.3875063631478355,0.5612876131636853,0.571081482814705,0.7396401320435899
26,0,0,0,0,0,0,0.015892152710307528,1.0630511676241952,1.4685132267459835,0.9127593196565158,1.1803774222938301
27,0,0,0,0,0,0,0.24221989656314236,0.3188154797471867,0.5359387219778853,0.39156050340240256,1.1988878609461864
28,0,0,0,0,0,0,0.0,0.07561549628302089,1.226922936532759,0.7565107215488496,1.0681518848706872
29,0,0,0,0,0,0,0.0,0.06681573355521664,1.1632804668406038,0.45287967879454527,0.17225559266358914
