metric,mean,std,ci95_low,ci95_high
day30_burnout_count,0.0,0.0,0.0,0.0
peak_burnout_count_days_1_30,0.26666666666666666,0.4497764451088036,0.10571623285055709,0.42761710048277624
ever_burnout_count_days_1_30,0.23333333333333334,0.4301830671520762,0.0793942997725115,0.3872723668941552
severe_agent_days,1.6666666666666667,3.1876197295521127,0.5259915959921835,2.80734173734115
persistent_burnout_3day_count,0.23333333333333334,0.4301830671520762,0.0793942997725115,0.3872723668941552
consecutive_burnout_2day_count,0.23333333333333334,0.4301830671520762,0.0793942997725115,0.3872723668941552
severe_stress_burden,2.2177096689970326,4.361661016869818,0.6569093192717594,3.7785100187223057
day30_p90_stress,0.6160431642638462,0.37157558661160833,0.48307654826832314,0.7490097802593693
day30_p95_stress,1.1298541089175649,0.6692006853928872,0.8903837191376647,1.369324498697465
day30_top10pct_mean_stress,0.81517264346765,0.348979459830807,0.6902919475941867,0.9400533393411132
days_1_30_p95_stress,1.0597896106927593,0.3765850704873227,0.925030373914714,1.1945488474708048
