day30_burnout_count,peak_burnout_count_days_1_30,ever_burnout_count_days_1_30,severe_agent_days,persistent_burnout_3day_count,consecutive_burnout_2day_count,severe_stress_burden,day30_p90_stress,day30_p95_stress,day30_top10pct_mean_stress,days_1_30_p95_stress,scenario,run_id
1,1,1,14,1,1,1.7507441350079773,65.84780528100839,69.07845084657707,70.89210643409857,68.5819308539496,Baseline,0
0,0,0,0,0,0,0.0,64.85684463919114,68.18353110254618,69.19084013799147,67.7674523518154,Baseline,1
0,0,0,0,0,0,0.0,64.33547298483742,67.46334337698813,68.35219120677965,65.59933118123993,Baseline,2
0,1,1,1,0,0,0.043327583741088915,66.31232164010564,69.06925319020709,69.83679865114199,68.44985423780054,Baseline,3
0,0,0,0,0,0,0.0,65.05970231250714,68.46921514706541,69.1339118461713,66.89222818139775,Baseline,4
0,0,0,0,0,0,0.0,66.49492622233412,69.54102198045086,70.44764341225434,67.39548352723024,Baseline,5
0,0,0,0,0,0,0.0,65.55721636228705,69.16190289771812,70.07604367803553,67.91977168031778,Baseline,6
0,1,1,3,1,1,0.6401863295247097,65.78018567350782,68.02468990351322,69.63589231664217,67.95270764736061,Baseline,7
0,1,1,3,1,1,0.11983262347916934,64.25687693014645,68.32704816070571,69.46262117854248,67.93859180386485,Baseline,8
0,0,0,0,0,0,0.0,65.87280687961247,68.6451872097288,70.02038315372928,67.86608346299569,Baseline,9
0,0,0,0,0,0,0.0,64.55956424580872,67.52431919727435,68.78084716304087,67.44690238538354,Baseline,10
0,1,1,2,0,0,0.11828794500213746,66.5434633688399,68.26359300061486,69.60646746303021,68.01696342083045,Baseline,11
0,1,1,1,0,0,0.03635645466867743,64.55526542424487,69.38770095558462,69.46172475103126,68.02464653504177,Baseline,12
0,0,0,0,0,0,0.0,64.12727882726193,67.76051571327888,67.96722702965988,66.19388868920771,Baseline,13
1,1,1,11,1,1,3.7434381479254597,68.48467891827336,69.4908494321347,71.49715332344519,68.49336241028634,Baseline,14
0,0,0,0,0,0,0.0,65.30824446560408,68.93611468286008,69.43570651124381,68.11362939426786,Baseline,15
0,0,0,0,0,0,0.0,64.90896535932183,68.4584051740609,69.2984201945446,67.41540415445571,Baseline,16
0,1,1,7,1,1,0.24737430769097557,65.27475834710116,68.8661622966418,70.06639449547622,67.58670952253443,Baseline,17
1,1,1,18,1,1,3.718163170096716,65.74074470755019,69.0638051829796,70.57850494824166,68.08886869806817,Baseline,18
0,0,0,0,0,0,0.0,65.54621804992055,68.63700947588116,69.65154052592652,67.35603699501368,Baseline,19
1,1,1,16,1,1,2.14642883736407,64.55478676660876,68.42800394197313,69.46847366057943,68.26587463989071,Baseline,20
0,0,0,0,0,0,0.0,65.40157893776255,68.66020365456598,69.8896761163481,66.93822792032033,Baseline,21
0,1,1,10,1,1,1.9502844281978327,65.41750856935073,68.97264203108415,69.8616978686582,67.63962234727215,Baseline,22
0,1,1,5,1,1,0.7394658117130035,64.89849683335895,69.7763165225015,70.17141462711518,68.33702317994161,Baseline,23
0,0,0,0,0,0,0.0,65.35522175983401,68.79728433210765,70.04275439020766,68.32899066570145,Baseline,24
0,0,0,0,0,0,0.0,65.30218028924013,67.98381099576027,68.41341883213855,67.59559489863736,Baseline,25
0,1,1,4,1,1,0.4654414711483099,65.26617151185543,68.42322279196503,69.17447854651951,68.08882705687304,Baseline,26
1,1,1,15,1,1,2.3632396489755223,65.40062016609089,68.88125036181694,70.258998749893,68.09437038328457,Baseline,27
0,0,0,0,0,0,0.0,64.6041729133236,68.90748454741916,69.67160651262681,67.9868087554263,Baseline,28
0,0,0,0,0,0,0.0,64.63057226319224,68.1286448456172,69.49019709161118,66.92397147450632,Baseline,29
1,1,1,13,1,1,1.5360956619603883,65.29689485722221,68.69160428370238,70.03921719504783,67.48178111693457,Intervention,0
0,0,0,0,0,0,0.0,64.00874686266368,66.92954853674254,68.22131777767896,66.64140075964761,Intervention,1
0,0,0,0,0,0,0.0,64.07301319423642,67.39392680562331,67.96606934564174,65.45880647257515,Intervention,2
0,1,1,1,0,0,0.026951113555782058,65.25106276596098,67.73557562537917,69.05560368516018,67.47469344890544,Intervention,3
0,0,0,0,0,0,0.0,64.02836715306422,67.50219945778959,68.58500781133276,66.53853800696481,Intervention,4
0,0,0,0,0,0,0.0,66.18406921916099,68.85175431677094,69.71236185076334,66.18820741579958,Intervention,5
0,0,0,0,0,0,0.0,65.08609126926336,67.26299304406623,69.00939670440195,66.88469655537803,Intervention,6
0,1,1,3,1,1,0.5794549206876098,65.63388304195304,67.27043468445503,68.62466294668387,67.20607874944189,Intervention,7
0,1,1,3,1,1,0.11983262347916934,64.21139088677597,67.53635779958091,69.09792479663425,67.09921441895636,Intervention,8
0,0,0,0,0,0,0.0,64.93235978516614,67.73110935805407,68.81557362313747,66.93540703850755,Intervention,9
0,0,0,0,0,0,0.0,64.50985572464916,66.68259367435377,67.887434052331,66.82601195938084,Intervention,10
0,1,1,2,0,0,0.07927299389302789,66.14372642130158,66.98472092275277,68.72052478140301,66.73589020072738,Intervention,11
0,1,1,1,0,0,0.016597963445036612,64.54745039135855,67.54383410881668,69.02354812147799,67.38357250142408,Intervention,12
0,0,0,0,0,0,0.0,63.90389830939356,67.00641360634476,67.5857431863424,66.00086048205954,Intervention,13
1,1,1,11,1,1,3.5335586731187334,67.46942198525157,69.47803055248568,71.21823704115795,67.8778972305011,Intervention,14
0,0,0,0,0,0,0.0,65.14390599785051,67.18591967623242,68.54256488755587,67.10607504690987,Intervention,15
0,0,0,0,0,0,0.0,64.34095810455383,66.9338358350497,68.48763637895661,66.71615291484781,Intervention,16
0,1,1,4,1,1,0.1578470532799514,64.56328548717683,67.50271043166774,69.00792040987787,66.90812081294972,Intervention,17
1,1,1,18,1,1,3.3781249078251676,65.66346044133992,68.9560283883898,70.27955462804425,67.05962138546458,Intervention,18
0,0,0,0,0,0,0.0,65.14796388920811,67.39040870865857,68.94496498179811,66.80370886169071,Intervention,19
0,1,1,14,1,1,1.9287083417612507,64.22367097569139,66.88945896536596,68.27400369249138,66.96489009590302,Intervention,20
0,0,0,0,0,0,0.0,64.41074505444247,67.9426700923952,68.96961606615535,66.57408108256887,Intervention,21
0,1,1,10,1,1,1.8172816782137886,64.69437043784492,67.46737931944426,68.39759715808154,66.37272510256105,Intervention,22
0,1,1,5,1,1,0.6849050679593915,64.71967547261156,67.49237095547109,69.183179648284,67.04249892307516,Intervention,23
0,0,0,0,0,0,0.0,64.99633776132828,67.55865151517136,68.68835903832692,66.93033622842214,Intervention,24
0,0,0,0,0,0,0.0,64.91467392609229,67.42252338259658,67.84233734932384,66.85595476659377,Intervention,25
0,1,1,4,1,1,0.4495493184380024,64.20312034423124,66.95470956521905,68.261719226863,66.90844963457921,Intervention,26
1,1,1,15,1,1,2.12101975241238,65.0818046863437,68.34531163983905,69.8674382464906,66.89548252233838,Intervention,27
0,0,0,0,0,0,0.0,64.52855741704057,67.6805616108864,68.91509579107796,66.91865687055561,Intervention,28
0,0,0,0,0,0,0.0,64.56375652963702,66.9653643787766,69.03731741281663,66.75171588184273,Intervention,29
