day30_burnout_count,peak_burnout_count_days_1_30,ever_burnout_count_days_1_30,severe_agent_days,persistent_burnout_3day_count,consecutive_burnout_2day_count,severe_stress_burden,day30_p90_stress,day30_p95_stress,day30_top10pct_mean_stress,days_1_30_p95_stress,scenario,run_id
1,2,3,26,2,2,104.77646852890561,70.36993247776607,73.41415412186602,75.07988678646794,72.55972239319537,Baseline,17
1,1,2,21,1,1,125.85262488460657,71.24578900200811,74.59597983252792,75.38152931211366,72.64502795964678,Baseline,18
1,1,2,21,1,1,95.00245666302824,69.82266326585975,72.99134722234314,74.34957755847056,71.83369029415509,Baseline,19
1,1,2,26,1,1,143.6632369761949,68.71073330824765,72.93681391528106,74.20346245934668,72.89479258735057,Baseline,20
1,1,2,13,1,1,66.0953255264172,69.50024914877271,73.75703147870952,74.75734420243866,72.06646051018421,Baseline,21
1,1,2,25,1,1,126.88019743837353,70.27954498291393,73.57664447289729,74.53840668264202,72.02554751481061,Baseline,22
1,1,2,19,1,1,98.1357481622333,70.43494696004727,74.44772050062122,74.9861136840028,72.98752697947091,Baseline,23
1,2,2,18,1,1,82.09280271630983,69.8641811706073,73.42075636988591,74.84291535202625,72.94591751070728,Baseline,24
0,1,2,14,1,1,69.03338886446554,70.9903962952231,72.39443822289758,73.12650967788015,72.15257889532839,Baseline,25
1,2,3,33,2,2,126.67585667632731,70.7653484097347,72.93600112112786,73.86849955621759,73.02559146819272,Baseline,26
1,1,2,23,1,1,127.23635232690653,70.757314806058,73.86224936618333,75.00215038345772,72.67249096113343,Baseline,27
1,1,2,21,1,1,102.38854465832841,69.93234180692592,73.37905248430323,74.28527805947378,72.55789573858286,Baseline,28
1,1,1,6,1,1,29.841456978639485,69.92825386753807,72.6505099598138,74.42807087263287,71.87100946987998,Baseline,29
1,1,2,25,1,1,135.91820466255635,70.35510002560572,73.75047977912891,74.77172407888364,71.9932475446408,Intervention,0
1,1,2,22,1,1,97.58708741165256,68.54605405835727,71.17989694351594,72.76279153307021,71.14984664149226,Intervention,1
1,1,2,22,1,1,96.61749311790922,69.49754142907211,71.6031525151484,72.88738905186658,70.48271672726212,Intervention,2
1,1,2,21,1,1,107.3447209262754,70.33888441199689,72.27299098024751,73.7637371388336,71.85173553815677,Intervention,3
1,1,2,25,1,1,125.29519770962376,68.98522042124989,71.83918493649739,73.40491975825526,71.01093118406399,Intervention,4
1,1,1,17,1,1,80.18238723317957,70.79490027530333,73.68662423823785,74.52029580073473,70.83120803679934,Intervention,5
1,1,2,16,1,1,75.55764996601977,69.89386546034396,71.74859254340356,73.88630177423887,71.36480360266513,Intervention,6
1,1,3,21,1,1,104.84485504686084,70.54966312465623,71.65785910241725,73.56162373292655,71.8450278494549,Intervention,7
1,1,2,21,1,1,102.52333010746453,69.26711011779481,71.9014780009308,73.76565473925805,71.58784063453429,Intervention,8
1,1,2,21,1,1,103.81438764263818,69.61739156041554,72.22386305354897,73.48904740554737,71.5002811675629,Intervention,9
1,2,3,28,1,1,118.91398523808726,68.69904001644987,71.78519519267715,72.65094491700745,70.9075825383077,Intervention,10
1,1,2,16,1,1,78.89426004265955,70.92737544795968,71.58972445042008,73.36247641592466,71.17037040652761,Intervention,11
1,1,2,24,1,1,121.02102209420927,69.59105540851031,71.88702468087348,73.8468218696263,71.82949744276497,Intervention,12
1,1,2,13,1,1,61.569560546329015,68.67150709368461,71.09065341861896,72.35046503104952,70.91040848625289,Intervention,13
1,1,2,22,1,1,112.76713755994378,71.92975847453467,74.5271717187452,76.1832613568418,72.60904095160916,Intervention,14
1,1,2,14,1,1,66.52891653830198,69.77970497613337,71.08771749233678,73.30733318536447,71.44277780238447,Intervention,15
1,1,2,18,1,1,76.15860506794141,69.28640101938348,71.66936114949404,73.31623521106751,70.93387327530772,Intervention,16
1,1,2,19,1,1,99.9299129226653,69.95182999373922,72.3378342020445,73.8263212871512,71.63826419083091,Intervention,17
1,1,2,21,1,1,125.37833632078762,70.99302782018195,74.58465425858077,75.04739726730126,71.69938520402955,Intervention,18
1,1,2,21,1,1,94.61264777047545,68.74188630857888,71.92338752640495,73.5593650000994,71.10584595065434,Intervention,19
1,1,2,26,1,1,143.19247357462933,68.052631560012,70.95536075331873,72.91709895400831,71.53749141868475,Intervention,20
1,1,2,13,1,1,65.7846706605978,68.60828930006834,72.60282885266798,73.72706744022098,70.86635867610549,Intervention,21
1,1,2,25,1,1,126.41839854787689,69.50636395021186,71.93955053903768,73.00950926991308,70.91952900407861,Intervention,22
1,1,2,19,1,1,97.81449603041523,69.67889763990539,71.94221534332277,74.04519398149903,71.5942095835012,Intervention,23
1,1,1,17,1,1,81.20119102437769,69.65380047221343,71.93327124661717,73.40101901700838,71.63752990176847,Intervention,24
0,1,2,14,1,1,68.69193208026743,70.19531890771157,71.82081422274408,72.68984725346107,71.2658514590278,Intervention,25
1,1,2,24,1,1,109.66491192892015,68.75934929368059,71.0403221223903,72.85735205492765,70.98637163954638,Intervention,26
1,1,2,23,1,1,126.78814821743555,70.65148469848904,72.16375955268559,74.54686720555915,71.28430541713583,Intervention,27
1,1,2,21,1,1,101.92546014431609,69.25316072313855,72.22456867619006,73.58284501733463,70.99189621335634,Intervention,28
1,1,1,6,1,1,29.706604919667726,69.88810347529301,71.78349288765166,73.94195532174915,71.18404869294817,Intervention,29
