run_id,seed,scenario,final_mean_stress,final_max_stress,final_mean_usage,burnout_count_day_30,peak_burnout_count,peak_stress,total_stress_auc
0,100,Baseline,36.22344508994821,80.20030527851102,295.0020567986834,1,19,100.0,107760.45378972062
0,100,Intervention,33.67578922056093,80.17938636349481,280.98367532035036,1,19,100.0,102689.68399129929
1,101,Baseline,34.8536922572586,78.87021253811002,284.3968031472296,0,19,100.0,104802.82974105177
1,101,Intervention,32.76658943694571,78.85071708865539,272.87584461642587,0,19,100.0,100190.45728885438
2,102,Baseline,34.036149758657096,79.25117712379173,278.372620669529,0,19,100.0,102116.39439677919
2,102,Intervention,31.930343844917907,79.23077273076262,266.470863789031,0,19,100.0,98347.2531054549
3,103,Baseline,35.23002592413165,79.04878595302091,286.70335552920864,0,19,100.0,107044.2295836133
3,103,Intervention,32.69308936408276,79.0301644527466,272.65520751344286,0,19,100.0,102446.27000883987
4,104,Baseline,33.66575211900102,79.09397037109217,276.69103319403564,0,19,100.0,102204.10252522437
4,104,Intervention,31.6214576949659,79.07370452326998,265.1344508938138,0,19,100.0,98540.20676757112
5,105,Baseline,36.04659887504053,79.70991439282656,295.03033206052794,0,19,100.0,106156.44494542724
5,105,Intervention,34.09526166081609,79.68888628659899,285.05192509464666,0,19,100.0,102093.83650930788
6,106,Baseline,35.02519099082454,79.72032880208562,284.2197422730284,0,19,100.0,105283.5941186245
6,106,Intervention,32.523286957387974,79.69951922260597,270.35962459130167,0,19,100.0,100724.2645591517
7,107,Baseline,35.10619198658794,79.34597317461039,287.59055875714114,0,19,100.0,105916.80025792464
7,107,Intervention,32.74846471462578,79.32499092377074,274.49278722968046,0,19,100.0,101355.41133574392
8,108,Baseline,35.643619327047666,79.81792723744913,292.8311892038012,0,19,100.0,106123.91903430164
8,108,Intervention,33.469758065404406,79.79703188891187,280.98999193877825,0,19,100.0,101695.21535815549
9,109,Baseline,35.49425923574487,79.21580346229673,290.2865457600976,0,19,100.0,105087.19389584126
9,109,Intervention,32.88182788490554,79.19569083283177,275.85599581617583,0,19,100.0,100097.67098363412
